"subjectnumber" "activitycode" "activityname" "tbodyaccstdx" "tbodyaccstdy" "tbodyaccstdz" "tgravityaccstdx" "tgravityaccstdy" "tgravityaccstdz" "tbodyaccjerkstdx" "tbodyaccjerkstdy" "tbodyaccjerkstdz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "tbodyaccmagstd" "tgravityaccmagstd" "tbodyaccjerkmagstd" "tbodygyromagstd" "tbodygyrojerkmagstd" "fbodyaccstdx" "fbodyaccstdy" "fbodyaccstdz" "fbodyaccjerkstdx" "fbodyaccjerkstdy" "fbodyaccjerkstdz" "fbodygyrostdx" "fbodygyrostdy" "fbodygyrostdz" "fbodyaccmagstd" "fbodybodyaccjerkmagstd" "fbodybodygyromagstd" "fbodybodygyrojerkmagstd"
20 6 "LAYING" -0.546535422961538 -0.259011300096154 -0.639730168647436 -0.95804564051282 -0.951149621217949 -0.943657000576923 -0.586215941176923 -0.426120353397436 -0.738913456730769 -0.652396391814103 -0.485894484605705 -0.460843186407692 -0.653186069490385 -0.643573137512821 -0.536900063648718 -0.519017420878205 -0.519017420878205 -0.540847617073269 -0.521471397919231 -0.65307636871282 -0.538561223491667 -0.273948137371154 -0.65088931224359 -0.584111033739744 -0.420402255935897 -0.745732864166667 -0.676883051647436 -0.46709876350641 -0.522534472884615 -0.604222557220513 -0.548497929924744 -0.588328799467949 -0.670451894533974
24 6 "LAYING" -0.675459176298425 -0.582490655185302 -0.636497458900262 -0.975329699658793 -0.96089816664042 -0.955724566194226 -0.74030054488189 -0.685979796261942 -0.736374232574803 -0.776199049939633 -0.763365457296588 -0.708251676335958 -0.764490030609974 -0.792718702440945 -0.796816516614173 -0.650862147810236 -0.650862147810236 -0.689391189346457 -0.742983126606299 -0.788997850813648 -0.664356691751496 -0.594676790059055 -0.655360521446194 -0.751378154304462 -0.688280461860892 -0.751628687821522 -0.794063529133858 -0.771969808976378 -0.735749934304462 -0.705928425819685 -0.682447145993307 -0.782076276167979 -0.796157264514436
27 6 "LAYING" -0.574783321550336 -0.541012892132886 -0.60815876533557 -0.971679845234899 -0.969891146979866 -0.956568824597315 -0.624308492209396 -0.593582093143792 -0.729557309630873 -0.745669027144295 -0.754439610369128 -0.594631679097315 -0.776155496711409 -0.796468156174497 -0.727982409261745 -0.600445866154362 -0.600445866154362 -0.618887250102013 -0.697498265308054 -0.796244747537248 -0.566781295338926 -0.565176644248322 -0.620141790812081 -0.63962383364094 -0.594512488954698 -0.746736746744966 -0.758703337557047 -0.763234809362416 -0.623261741473154 -0.672092417700336 -0.633580675552349 -0.726661203895973 -0.810137398130872
28 6 "LAYING" -0.649040391307853 -0.573651895933508 -0.685821415026178 -0.973873328062827 -0.960365626256545 -0.946225637251309 -0.680813725392147 -0.651619848945026 -0.800870581884817 -0.740276591873298 -0.741285540196335 -0.669789662889791 -0.720515676293194 -0.825038783246073 -0.769755981125654 -0.635821226515969 -0.635821226515969 -0.687703433627487 -0.710956808836911 -0.805738383010471 -0.647807192984293 -0.595110472615916 -0.695767279528796 -0.704073382410995 -0.654855915271466 -0.821715494424084 -0.762030978010471 -0.740819453429319 -0.700291282881152 -0.696993999667801 -0.706415829342932 -0.743784612693717 -0.818448508376963
29 6 "LAYING" -0.574295395364826 -0.598400275636657 -0.606461283926453 -0.973282885843023 -0.964643161017442 -0.941621790232558 -0.623456414216366 -0.635499779848779 -0.793746797790698 -0.73469927369157 -0.634569173421512 -0.713864583982558 -0.736117664139535 -0.853639613139535 -0.770221314302326 -0.579067216088081 -0.579067216088081 -0.620472049862791 -0.653732301592151 -0.840156364186047 -0.5727879490375 -0.630978844851831 -0.602550925183721 -0.651564188964826 -0.655526116655523 -0.818292780813954 -0.752567831707849 -0.588857987485174 -0.749163172296512 -0.639314176054942 -0.636434470547384 -0.671454324368401 -0.851462426569767
30 6 "LAYING" -0.615890785389034 -0.519047387875457 -0.522643273772115 -0.974319118563969 -0.952288292767624 -0.92943263464752 -0.679007254150131 -0.6607705539047 -0.781644485013055 -0.671005846122715 -0.538990663942298 -0.589783442185379 -0.780636429556136 -0.79894807305483 -0.76322854691906 -0.588158111633681 -0.588158111633681 -0.658972148093473 -0.573779428671018 -0.810398514673629 -0.609238911508407 -0.531321491840992 -0.506570361273995 -0.701879208571802 -0.672622022924282 -0.807184940939948 -0.676801995680601 -0.496310421449608 -0.620253390415144 -0.646522810920757 -0.664600262443812 -0.589192650089817 -0.822805618746736
12 4 "SITTING" -0.508665196767164 -0.401357613464179 -0.722443639029851 -0.973039656865672 -0.961684570149254 -0.956887170522388 -0.487513853589552 -0.441798499370224 -0.813044700746269 -0.677307561997761 -0.680398804104478 -0.699245741395522 -0.623189590291045 -0.786312781716418 -0.71311417830597 -0.509050737147015 -0.509050737147015 -0.468462139639552 -0.641774640228657 -0.742760839925373 -0.514152324191791 -0.444910001659702 -0.728469606492537 -0.505745022388806 -0.447339284527239 -0.825620583955224 -0.707831066395522 -0.669622323059701 -0.748431752686567 -0.605529765076119 -0.480918839647015 -0.687480054074627 -0.753265165522388
13 4 "SITTING" -0.624844460199083 -0.448816097853364 -0.587230562129052 -0.967268063455658 -0.953540716850153 -0.938727880275229 -0.638889532599083 -0.569700547488012 -0.728452966311927 -0.715109859672783 -0.645728612088685 -0.643337285033639 -0.715772980189602 -0.718988591831804 -0.712716428498471 -0.597230982062691 -0.597230982062691 -0.610248540269939 -0.636364939544342 -0.712056186747706 -0.620602036452599 -0.462584458627829 -0.599036895271407 -0.649606227431844 -0.562129866937645 -0.744823539571865 -0.734657989051988 -0.650623558847401 -0.685774481529052 -0.665344858593272 -0.617075473106453 -0.691915161336391 -0.733183567759939
17 4 "SITTING" -0.550867932263844 -0.507275258134 -0.613217322774375 -0.9695361643125 -0.9570481696875 -0.94542101409375 -0.635949363671875 -0.6209185283575 -0.78668123990625 -0.7250048879375 -0.73173270325 -0.681002221107187 -0.75779255871875 -0.80093311453125 -0.7804575046875 -0.585287408546562 -0.585287408546562 -0.649316139213437 -0.71559290114375 -0.80013424171875 -0.533671600249375 -0.519062339910625 -0.609007944529688 -0.628899885682187 -0.614345425693125 -0.79753323615625 -0.737661758785625 -0.72779753184375 -0.708869113253125 -0.644502428118125 -0.647886818483125 -0.7525235544375 -0.8098826564375
18 4 "SITTING" -0.991705206333333 -0.939095257 -0.950753017666667 -0.995679798333333 -0.97557713 -0.973759297333333 -0.989808125333333 -0.968781037 -0.989064151666667 -0.950461505666667 -0.977660980333333 -0.962330311666667 -0.976198165666667 -0.991806091 -0.982765702666667 -0.964222192 -0.964222192 -0.983733639666667 -0.947942481333333 -0.986354497333333 -0.992469808333333 -0.937087901 -0.943508302333333 -0.990952901666667 -0.970764276333333 -0.990011026 -0.950392071666667 -0.975029833666667 -0.964431652333333 -0.965101664666667 -0.984285595333333 -0.946838238333333 -0.985681788333333
